"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","114","109891","105","107594","1","2280","17"
"2","SAS Nagar","196","95887","137","94670","0","1148","69"
"3","Jalandhar","87","78360","70","76770","0","1578","12"
"4","Patiala","192","62226","115","60687","0","1458","81"
"5","Amritsar","46","59441","33","57741","0","1682","18"
"6","Bathinda","29","50899","28","49806","0","1088","5"
"7","Hoshiarpur","47","40885","57","39789","0","1096","0"
"8","Gurdaspur","13","26952","11","26084","1","865","3"
"9","Pathankot","30","24565","33","24066","0","495","4"
"10","Fazilka","15","23413","25","22864","0","545","4"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","24","22057","19","21471","1","583","3"
"13","Ropar","10","17948","9","17492","0","455","1"
"14","Ferozepur","8","17907","9","17369","0","537","1"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","20","16803","23","16464","0","338","1"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","19","13007","0","409","5"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","6","7504","11","7154","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","877","759958","729","741979","4","17751","228"
