"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22414","","5227","","27641",""
"2","Total Active Cases","374 
(1.7%)","","93 
(1.8%)","","467 
(1.7%)",""
"3","Total Cured/ Discharged","21872 
(97.6%)","","5074                                  
(97.1%)","","(97.5%)",""
"4","Total Died","168 
(0.75%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","4","","26",""
"6","Total Positive cases in Home Isolation","219","","89","","308",""
"7","COVID Care Centre","131","","00","","131",""
"8","Facility Isolation","2","","00","","02",""
"9","No. of Samples Tested (Today)","980","","294","","1274",""
"10","No. of Samples Positive (Today)","38","","9","","47",""
"11","No. of Samples Negative (Today)","938","","285","","1223",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","843 
        00 
        00 
        93 
       936"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(15/01/2022)","","Test Done Today 
(16/02/2022)","","Cumulative"
"","","a)  RTPCR","291796","","1172","","292968"
"","","b)  TRUENAT","12001","","20","","12021"
"","","c)  RAT","345463","","66","","345529"
"","","d)  CBNAAT","728","","16","","744"
"","","TOTAL","649988","","1274","","651262"
