"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","306"
"2","Number of persons tested positive today in Tamil Nadu","35"
"3","Total Number of persons tested positive till date","34,52,825"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,858/ 
6,55,97,835@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,841/ 
6,44,21,332"
"6","No. of Male / Female / Transgender tested positive today","19/16/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,143/14,37,644/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","51/ 
34,14,494"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
