"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,570"
"2","Number of persons tested positive today in Tamil Nadu","329"
"3","Total Number of persons tested positive till date","35,87,255"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,109/ 
6,95,55,482@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,954/ 
6,83,35,598"
"6","No. of Male / Female / Transgender tested positive today","194/135/0"
"7","No. of Male / Female / Transgender tested positive till date","20,91,651/14,95,566/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","466/ 
35,44,637"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
