"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35180","0","34844","3","0","333","0"
"2","Ballari","2","97789","0","95994","109","0","1686","0"
"3","Belagavi","1","79956","5","78959","55","0","942","0"
"4","Bengaluru Rural","1","62073","5","61135","48","0","890","0"
"5","Bengaluru Urban","112","1255166","300","1233232","5609","1","16324","1"
"6","Bidar","0","24344","0","23937","2","0","401","4"
"7","Chamarajanagara","5","33039","1","32499","26","0","503","11"
"8","Chikkaballapura","0","43969","0","43530","7","0","431","1"
"9","Chikkamagaluru","1","51189","3","50752","41","0","396","0"
"10","Chitradurga","1","36704","0","36463","33","0","208","0"
"11","Dakshina 
Kannada","16","115756","9","113961","103","0","1685","7"
"12","Davanagere","1","51000","1","50379","13","0","608","0"
"13","Dharwada","2","61028","2","59683","24","1","1319","2"
"14","Gadag","0","26067","0","25747","1","0","319","0"
"15","Hassana","3","111988","7","110665","64","0","1257","2"
"16","Haveri","0","21948","0","21304","1","0","643","0"
"17","Kalaburagi","0","61948","1","61117","11","0","820","0"
"18","Kodagu","7","37211","3","36805","75","0","330","1"
"19","Kolara","1","47002","5","46325","39","0","638","0"
"20","Koppala","0","35199","0","34661","12","0","526","0"
"21","Mandya","3","73839","3","73156","29","0","654","0"
"22","Mysuru","14","179578","10","176953","204","0","2421","0"
"23","Raichuru","0","39980","0","39645","3","0","332","0"
"24","Ramanagara","0","24213","0","23886","4","0","323","0"
"25","Shivamogga","0","69506","0","68326","90","0","1090","0"
"26","Tumakuru","3","121020","11","119754","132","0","1134","0"
"27","Udupi","4","76843","6","76299","56","0","488","0"
"28","Uttara Kannada","1","56382","1","55545","65","0","772","0"
"29","Vijayapura","0","36277","0","35776","6","0","495","0"
"30","Yadagiri","0","27547","0","27339","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","178","2993777","373","2948704","6867","2","38177","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 22-11-2021 
 Page 5 of 8","","","","","","","","",""
