"S. No","Subject","Number"
"1","Total Number of people vaccinated on 16th Jan","6,09,305"
"2","First Dose on 16th Jan","1,60,381"
"3","Second Dose on 16th Jan","4,08,706"
"4","Precaution Dose on 16th Jan","40,218"
"5","Cumulative Vaccination till 16th Jan","11,28,94,624"
"6","Cumulative Vaccination First Dose","6,78,05,223"
"7","Cumulative Vaccination Second Dose","4,48,42,765"
"8","Cumulative Precaution Dose","2,46,636"
"9","Number of CVC (Common Vaccination Centres)","5,427"
"10","Cumulative AEFI cases reported","6,602"
"11","Vaccine wastage","-7%"
