"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20756","","4280","","25036",""
"2","Total Active Cases","1023 
(4.9%)","","294 
(6.9%)","","1317 
(5.3%)",""
"3","Total Cured/ Discharged","19569 
(94.3%)","","3927                                  
(91.8%)","","(93.8%)",""
"4","Total Died","164 
(0.79%)","","59 
(1.4%)","","223 
(0.89%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","11","","33",""
"6","Total Positive cases in Home Isolation","850","","283","","1133",""
"7","COVID Care Centre","108","","0","","108",""
"8","Facility Isolation","43","","0","","43",""
"9","No. of Samples Tested (Today)","455","","462","","917",""
"10","No. of Samples Positive (Today)","97","","121","","218",""
"11","No. of Samples Negative (Today)","357","","341","","698",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","255 
          00 
      00 
           63 
          318"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(24/01/2022)","","Test Done Today 
(25/01/2022)","","Cumulative"
"","","a)  RTPCR","271803","","718","","272521"
"","","b)  TRUENAT","11525","","22","","11547"
"","","c)  RAT","342463","","177","","342640"
"","","d)  CBNAAT","288","","00","","288"
"","","TOTAL","626079","","917","","626996"
