"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,395"
"2","Number of persons tested positive today in Tamil Nadu","538"
"3","Total Number of persons tested positive till date","35,80,439"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,518/ 
6,93,47,813@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,354/ 
6,81,30,475"
"6","No. of Male / Female / Transgender tested positive today","269/269/0"
"7","No. of Male / Female / Transgender tested positive till date","20,87,699/14,92,702/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","492/ 
35,36,998"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,046"
