"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,013"
"2","Number of persons tested positive today in Tamil Nadu","820"
"3","Total Number of persons tested positive till date","27,12,404"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,343/ 
5,23,39,315@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,022/ 
5,14,12,266"
"6","No. of Male / Female / Transgender tested positive today","485/335/0"
"7","No. of Male / Female / Transgender tested positive till date","15,83,085/11,29,281/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","962/ 
26,66,140"
"10","Total number of deaths today/ till date","4(0 Private &  
4 Govt) /36,251)"
