"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,629+4","15,479+4","102","48","7-Nov-21"
"2","Coochbehar","29,372+10","29,153+10","97","122","7-Nov-21"
"3","Darjeeling","57,310+18","56,531+20","543","236-2","7-Nov-21"
"4","Kalimpong","7,062+6","6,974+2","54","34+4","7-Nov-21"
"5","Jalpaiguri","42,068+5","41,369+10","577","122-5","7-Nov-21"
"6","Uttar Dinajpur","19,946+5","19,616+8","239","91-3","7-Nov-21"
"7","Dakshin Dinajpur","18,066+29","17,703+15","171","192+14","7-Nov-21"
"8","Malda","33,487+2","33,204+9","187+1","96-8","7-Nov-21"
"9","Murshidabad","34,035+2","33,651+5","329","55-3","7-Nov-21"
"10","Nadia","73,606+28","72,368+31","865+3","373-6","7-Nov-21"
"11","Birbhum","41,301+4","40,860+13","287","154-9","7-Nov-21"
"12","Purulia","19,433+2","19,299+2","114","20","7-Nov-21"
"13","Bankura","36,473+5","36,003+17","275+1","195-13","7-Nov-21"
"14","Jhargram","12,186+7","12,102+4","27","57+3","7-Nov-21"
"15","Paschim Medinipur","53,756+19","53,014+19","508","234","7-Nov-21"
"16","Purba Medinipur","63,173+8","62,657+10","397","119-2","7-Nov-21"
"17","Purba Bardhaman","42,163+12","41,761+17","200","202-5","7-Nov-21"
"18","Paschim Bardhaman","57,940+15","57,368+18","356","216-3","7-Nov-21"
"19","Howrah","99,266+50","97,096+53","1,527","643-3","7-Nov-21"
"20","Hooghly","86,739+46","85,152+49","998+1","589-4","7-Nov-21"
"21","North 24 Parganas","3,30,344+138","3,24,134+110","4,859+4","1,351+24","7-Nov-21"
"22","South 24 Parganas","1,01,464+39","99,492+53","1,348+1","624-15","7-Nov-21"
"23","Kolkata","3,24,206+149","3,16,903+178","5,177+3","2,126-32","7-Nov-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","15,99,091+603","15,71,952+657","19,240+14","7,899-68",""
