"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17735","","3634","","21369",""
"2","Total Active Cases","211 
(1.19%)","","15 
(0.41%)","","226 
(1.1%)",""
"3","Total Cured/ Discharged","17370 
(97.94%)","","3561                                  
(97.9%)","","(97.95%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.6%)","","212 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","00","","25",""
"6","Total Positive cases in Home Isolation","155","","15","","170",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","349","","693","","1042",""
"10","No. of Samples Positive (Today)","20","","00","","20",""
"11","No. of Samples Negative (Today)","329","","693","","1022",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","99 
           00 
       00 
           41 
          140"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(22/11/2021)","","Test Done Today 
(23/11/2021)","","Cumulative"
"","","a)  RTPCR","223381","","912","","224293"
"","","b)  TRUENAT","11034","","01","","11035"
"","","c)  RAT","330484","","129","","330613"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","565046","","1042","","566088"
