"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","514"
"2","Number of persons tested positive today in Tamil Nadu","41"
"","Passengers returned from other countries  by 
International airport &  other states  by Domestic 
airport tested positive today","USA-4 
Delhi-1"
"","Passengers returned from other states  by Road tested 
positive today","Delhi-1"
"","Total","47"
"3","Total Number of persons tested positive till date","34,53,979"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,460/ 
6,61,86,452@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,445/ 
6,50,09,633"
"6","No. of Male / Female / Transgender tested positive today","25/22/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,784/14,38,157/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","46/ 
34,15,440"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
