"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","252","28","0","12","190"
"2","ALWAR","250","8","0","175","462"
"3","BANSWARA","35","6","0","1","22"
"4","BARAN","80","0","0","0","2"
"5","BARMER","17","0","0","0","2"
"6","BHARATPUR","99","78","0","24","481"
"7","BHILWARA","176","0","0","0","64"
"8","BIKANER","345","12","0","12","49"
"9","BUNDI","71","13","0","29","47"
"10","CHITTORGARH","125","23","0","0","188"
"11","CHURU","48","0","0","0","10"
"12","DAUSA","16","6","0","17","96"
"13","DHOLPUR","3","4","0","0","23"
"14","DUNGARPUR","17","17","0","0","72"
"15","GANGANAGAR","3","0","0","1","4"
"16","HANUMANGARH","120","0","0","0","13"
"17","JAIPUR","1393","247","2","183","1556"
"18","JAISALMER","48","6","0","7","35"
"19","JALORE","17","6","0","4","19"
"20","JHALAWAR","28","2","0","0","25"
"21","JHUNJHUNU","217","1","0","0","2"
"22","JODHPUR","314","18","0","19","113"
"23","KARAULI","17","0","0","0","0"
"24","KOTA","831","12","0","4","81"
"25","NAGAUR","141","12","0","34","88"
"26","PALI","339","3","0","3","76"
