"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","767187","2","49682","1","446","5","49197","39"
"2","ALWAR","1537847","6","84371","0","320","0","84031","20"
"3","BANSWARA","301391","7","14716","0","106","8","14555","55"
"4","BARAN","221023","1","15236","0","64","6","15147","25"
"5","BARMER","396641","1","21449","0","205","4","21215","29"
"6","BHARATPUR","467608","0","31395","0","272","4","31110","13"
"7","BHILWARA","493240","6","38169","0","162","3","37997","10"
"8","BIKANER","713926","12","49857","0","584","7","49213","60"
"9","BUNDI","223419","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","444806","0","29361","0","140","0","29180","41"
"11","CHURU","414768","2","20780","0","114","0","20597","69"
"12","DAUSA","276657","0","15768","0","80","0","15679","9"
"13","DHOLPUR","271546","0","13744","0","49","0","13680","15"
"14","DUNGARPUR","324983","0","25497","0","134","0","25360","3"
"15","GANGANAGAR","413791","5","28111","0","158","0","27862","91"
"16","HANUMANGARH","476463","0","22447","0","114","0","22259","74"
"17","JAIPUR","3239723","67","273731","0","2109","121","270252","1370"
"18","JAISALMER","239805","3","17036","0","68","0","16945","23"
"19","JALORE","436285","0","10536","0","78","0","10433","25"
"20","JHALAWAR","363967","1","17690","0","207","5","17473","10"
"21","JHUNJHUNU","476843","0","19153","1","181","6","18933","39"
"22","JODHPUR","1373278","8","140864","0","1163","31","139598","103"
"23","KARAULI","230302","0","8963","0","84","0","8870","9"
