"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18188","","3661","","21849",""
"2","Total Active Cases","160 
(0.87%)","","14 
(0.38%)","","174 
(0.8%)",""
"3","Total Cured/ Discharged","17870 
(98.3%)","","3589                                  
(98%)","","(98.2%)",""
"4","Total Died","158 
(0.87%)","","58 
(1.6%)","","216 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","00","","17",""
"6","Total Positive cases in Home Isolation","108","","14","","122",""
"7","COVID Care Centre","22","","0","","22",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","429","","142","","571",""
"10","No. of Samples Positive (Today)","10","","00","","10",""
"11","No. of Samples Negative (Today)","419","","142","","561",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","267 
           00 
       00 
            11 
          278"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(13/12/2021)","","Test Done Today 
(14/12/2021)","","Cumulative"
"","","a)  RTPCR","241204","","446","","241650"
"","","b)  TRUENAT","11142","","08","","11150"
"","","c)  RAT","335438","","117","","335555"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","587956","","571","","588527"
