"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,671"
"2","Number of persons tested positive today in Tamil Nadu","1,467"
"3","Total Number of persons tested positive till date","35,44,246"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,159/ 
6,81,46,252@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","31,529/ 
6,69,43,399"
"6","No. of Male / Female / Transgender tested positive today","936/531/0"
"7","No. of Male / Female / Transgender tested positive till date","20,66,513/14,77,695/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,890/ 
34,93,543"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
