"S. No","Subject","Number"
"1","Total Number of people vaccinated on 17th Jan","76,503"
"2","First Dose on 17th Jan","20,862"
"3","Second Dose on 17th Jan","50,524"
"4","Precaution Dose on 17th Jan","5,117"
"5","Cumulative Vaccination till 17th Jan","11,29,71,127"
"6","Cumulative Vaccination First Dose","6,78,26,085"
"7","Cumulative Vaccination Second Dose","4,48,93,289"
"8","Cumulative Precaution Dose","2,51,753"
"9","Number of CVC (Common Vaccination Centres)","1,293"
"10","Cumulative AEFI cases reported","6,602"
"11","Vaccine wastage","-7%"
