"S. No","Subject","Number"
"1","Total Number of people vaccinated on 29th Jan","7,52,046"
"2","First Dose on 29th Jan","80,094"
"3","Second Dose on 29th Jan","5,99,845"
"4","Precaution Dose on 29th Jan","72,107"
"5","Cumulative Vaccination till 29th Jan","11,95,60,673"
"6","Cumulative Vaccination First Dose","6,89,06,265"
"7","Cumulative Vaccination Second Dose","4,98,39,942"
"8","Cumulative Precaution Dose","8,14,466"
"9","Number of CVC (Common Vaccination Centres)","6,505"
"10","Cumulative AEFI cases reported","6,727"
"11","Vaccine wastage","-7%"
