"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","693876","292","40561","0","411","130","38185","1965"
"2","ALWAR","1373334","1026","66246","0","309","364","60518","5419"
"3","BANSWARA","269744","113","10606","0","104","34","9975","527"
"4","BARAN","190434","94","12379","0","61","2","11947","371"
"5","BARMER","361611","458","17761","0","188","40","15490","2083"
"6","BHARATPUR","419467","542","23024","0","260","197","19896","2868"
"7","BHILWARA","443416","285","31630","0","156","55","29910","1564"
"8","BIKANER","645664","434","44265","0","547","217","40758","2960"
"9","BUNDI","197835","44","8196","0","48","13","7942","206"
"10","CHITTORGARH","401924","293","21722","0","139","179","20276","1307"
"11","CHURU","366040","178","17447","0","108","27","16695","644"
"12","DAUSA","239333","95","14115","0","63","40","13365","687"
"13","DHOLPUR","245250","120","11459","0","48","23","11001","410"
"14","DUNGARPUR","288648","197","19278","0","131","22","18402","745"
"15","GANGANAGAR","366308","292","20234","0","151","1","19317","766"
"16","HANUMANGARH","436684","0","17200","0","111","26","16032","1057"
"17","JAIPUR","2832622","1871","216480","2","1985","1865","194368","20127"
"18","JAISALMER","222364","150","14475","0","66","47","13650","759"
"19","JALORE","408202","4","10074","1","73","0","9996","5"
"20","JHALAWAR","327154","77","14256","1","190","40","13618","448"
"21","JHUNJHUNU","424136","28","15284","0","161","1","14686","437"
"22","JODHPUR","1247451","909","120212","0","1106","600","114453","4653"
"23","KARAULI","200827","9","7198","0","71","0","7093","34"
