"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22966","","5280","","28246",""
"2","Total Active Cases","02 
(0.01%)","","00 
(0%)","","02 
(0.01%)",""
"3","Total Cured/Discharged","22796 
(99.3%)","","5220 
(98.9%)","","28016 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","170","","10","","180",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","170","","10","","180",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","08 
00 
00 
02 
10"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(30/04/2022)","","Test Done Today 
(01/05/2022)","","Cumulative"
"","","a)RTPCR","320054","","140","","320194"
"","","b)TRUENAT","13632","","33","","13665"
"","","c)RAT","348220","","05","","348225"
"","","d)  CBNAAT","1082","","02","","1084"
"","","TOTAL","682988","","180","","683168"
