"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","13,319"
"2","Number of persons tested positive today in Tamil Nadu","2,532"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Assam-1"
"","Total","2,533"
"3","Total Number of persons tested positive till date","34,80,103"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,246/ 
6,72,13,395@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,789/ 
6,60,32,138"
"6","No. of Male / Female / Transgender tested positive today","1,400/1,133/0"
"7","No. of Male / Female / Transgender tested positive till date","20,29,844/14,50,221/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,372/ 
34,28,758"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
