"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","17,085"
"2","Number of persons tested positive today in Tamil Nadu","2,315"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","2,316"
"3","Total Number of persons tested positive till date","35,17,777"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","34,135/ 
6,76,88,939@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","33,316/ 
6,64,96,381"
"6","No. of Male / Female / Transgender tested positive today","1,331/985/0"
"7","No. of Male / Female / Transgender tested positive till date","20,50,990/14,66,749/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,458/ 
34,62,662"
"10","Total number of deaths today/ till date","1 (0 Private &  
1 Govt) /38,030"
