,Unnamed: 0,44,Unnamed: 1,बलरामपरु,Unnamed: 2,1,Unnamed: 3,0,Unnamed: 4,8115,Unnamed: 5,0.1,Unnamed: 6,139,Unnamed: 7,1.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,बादा,,0.0,,0.0,,12056.0,,0.0,,166.0,,1.0,,,,,
1,,46,,भदोही,,0.0,,0.0,,8475.0,,0.0,,165.0,,1.0,,,,,
2,,47,,चदंौली,,0.0,,0.0,,17532.0,,0.0,,378.0,,1.0,,,,,
3,,48,,देवररया,,1.0,,0.0,,22402.0,,0.0,,230.0,,1.0,,,,,
4,,49,,एटा,,0.0,,0.0,,12104.0,,0.0,,100.0,,1.0,,,,,
5,,50,,कानपरु देहात,,1.0,,0.0,,7126.0,,0.0,,110.0,,1.0,,,,,
6,,51,,मऊ,,0.0,,0.0,,8937.0,,0.0,,86.0,,1.0,,,,,
7,,52,,मजुफ्फरनगर,,0.0,,0.0,,38327.0,,0.0,,277.0,,1.0,,,,,
8,,53,,प्रतापगढ़,,1.0,,0.0,,16744.0,,0.0,,163.0,,1.0,,,,,
9,,54,,रामपरु,,1.0,,0.0,,14607.0,,0.0,,153.0,,1.0,,,,,
10,,55,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
11,,56,,सतं कबीर नगर,,0.0,,0.0,,8853.0,,0.0,,101.0,,1.0,,,,,
12,,57,,शामली,,0.0,,0.0,,16694.0,,0.0,,48.0,,1.0,,,,,
13,,58,,औरैय्या,,0.0,,1.0,,10785.0,,0.0,,211.0,,0.0,,,,,
14,,59,,आजमगढ़,,0.0,,0.0,,19438.0,,0.0,,235.0,,0.0,,,,,
15,,60,,बदाय,,0.0,,0.0,,17911.0,,0.0,,101.0,,0.0,,,,,
16,,61,,बहराइच,,0.0,,0.0,,13411.0,,0.0,,178.0,,0.0,,,,,
17,,62,,बबजनौर,,0.0,,0.0,,18286.0,,0.0,,139.0,,0.0,,,,,
18,,63,,बलुदंशहर,,0.0,,0.0,,26331.0,,0.0,,253.0,,0.0,,,,,
19,,64,,चचत्रकट,,0.0,,0.0,,7762.0,,0.0,,79.0,,0.0,,,,,
20,,65,,फतहेपरु,,0.0,,0.0,,8293.0,,0.0,,141.0,,0.0,,,,,
21,,66,,क्रिरोजाबाद,,0.0,,0.0,,10565.0,,0.0,,136.0,,0.0,,,,,
22,,67,,हमीरपरु,,0.0,,0.0,,6066.0,,0.0,,102.0,,0.0,,,,,
23,,68,,हाथरस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
24,,69,,कासगजं,,0.0,,0.0,,4885.0,,0.0,,55.0,,0.0,,,,,
25,,70,,कौशाम्बी,,0.0,,0.0,,4878.0,,0.0,,72.0,,0.0,,,,,
26,,71,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
27,,72,,लमर्ाुपरु,,0.0,,66.0,,11949.0,,0.0,,126.0,,0.0,,,,,
28,,73,,पीलीभीत,,0.0,,0.0,,12728.0,,0.0,,205.0,,0.0,,,,,
29,,74,,शाहजहांपरु,,0.0,,0.0,,24401.0,,0.0,,447.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5233.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,33.0,,113.0,,2046608.0,,0.0,,23494.0,,464.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23494 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
