"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","276492","*19265353"
"2","Total No. of patients tested Positive","505","759595"
"3","No. of patients discharged","405","741655"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","11509"
"6","Test conducted on the day","","11284"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","192"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218548"
"14","Frontline Workers vaccinated with 1st dose on the day","","9"
"15","Total Frontline Workers vaccinated with 1st dose","","1117020"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","36"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209450"
"18","Frontline Workers vaccinated with 2nd dose on the day","","169"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009837"
"20","Above 45 Vaccinated with 1st dose on the day","","507"
"21","Total Above 45 Vaccinated with 1st dose","","8279723"
"22","Above 45 Vaccinated with 2nd dose on the day","","9190"
"23","Total Above 45 Vaccinated with 2nd dose","","6976193"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1677"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12462644"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","20607"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9285005"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3523"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1029704"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","5916"
"31","Total 15-17 years age group Vaccinated with 2nddose","","597499"
"32","12-14 years age group Vaccinated with 1st dose on the day","","10642"
"33","Total 12-14 years age group Vaccinated with 1st dose","","445005"
"34","12-14 years age group Vaccinated with 2nddose on the day","","11718"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","98760"
"36","Precautionary dose given on the day","","4910"
"37","Total Precautionary dose given","","542882"
"38","Total Vaccination 1st dose on the day","","2193"
"39","Total Vaccination 2nd dose on the day","","30002"
"40","Total Vaccination 1st and 2nd dose on the day","","32195"
