"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","84","109861","69","107558","1","2280","23"
"2","SAS Nagar","101","95792","57","94590","0","1148","54"
"3","Jalandhar","67","78342","41","76741","0","1578","23"
"4","Patiala","42","62079","30","60602","0","1458","19"
"5","Amritsar","20","59415","18","57726","0","1682","7"
"6","Bathinda","18","50888","14","49792","0","1088","8"
"7","Hoshiarpur","46","40884","46","39778","0","1096","10"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","25","24561","23","24056","0","495","10"
"10","Fazilka","10","23408","17","22856","0","545","7"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","21","22054","13","21465","1","580","9"
"13","Ropar","5","17943","3","17486","0","455","2"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","3","17231","1","16837","0","392","2"
"16","Faridkot","15","16801","16","16457","0","338","6"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","14","13416","14","13002","0","409","5"
"19","FG Sahib","7","11841","5","11485","0","354","2"
"20","Moga","1","10989","2","10733","1","255","1"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","2","7500","8","7151","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","505","759595","405","741655","4","17748","192"
