"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","408"
"2","Number of persons tested positive today in Tamil Nadu","33"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1 
 UK-1"
"","Total","35"
"3","Total Number of persons tested positive till date","34,54,591"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,867/ 
6,63,88,478"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,850/ 
6,52,11,419"
"6","No. of Male / Female / Transgender tested positive today","22/13/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,108/14,38,445/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266$Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","51/ 
34,16,158"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
