"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23030","","5283","","28313",""
"2","Total Active Cases","25 
(0.1%)","","02 
(0.04%)","","27 
(0.1%)",""
"3","Total Cured/Discharged","22837 
(99.2%)","","5221 
(98.8%)","","28058 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","02","","05",""
"6","Total Positive cases in Home Isolation","21","","00","","21",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","92","","28","","120",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","89","","28","","117",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","66 
46 
06 
00 
118"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(18/06/2022)","","Test Done Today 
(19/06/2022)","","Cumulative"
"","","a)RTPCR","325064","","76","","325140"
"","","b)TRUENAT","14230","","12","","14242"
"","","c)RAT","349987","","32","","350019"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","690386","","120","","690506"
