"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1454","2","0","8","202"
"2","ALWAR","2112","112","0","27","464"
"3","BANSWARA","348","0","0","0","59"
"4","BARAN","423","0","0","2","7"
"5","BARMER","40","0","0","0","19"
"6","BHARATPUR","1350","35","0","0","91"
"7","BHILWARA","289","0","0","0","74"
"8","BIKANER","640","2","0","34","50"
"9","BUNDI","345","4","0","0","6"
"10","CHITTORGARH","819","32","0","0","145"
"11","CHURU","103","0","0","0","23"
"12","DAUSA","628","55","0","19","200"
"13","DHOLPUR","179","5","0","0","33"
"14","DUNGARPUR","399","17","0","0","87"
"15","GANGANAGAR","50","0","0","0","6"
"16","HANUMANGARH","265","0","0","0","11"
"17","JAIPUR","2509","139","0","0","1400"
"18","JAISALMER","175","0","0","0","76"
"19","JALORE","199","3","0","0","54"
"20","JHALAWAR","498","9","0","9","44"
"21","JHUNJHUNU","536","1","0","0","1"
"22","JODHPUR","723","25","0","24","233"
"23","KARAULI","811","0","0","0","0"
"24","KOTA","855","19","0","0","99"
"25","NAGAUR","954","20","0","2","103"
"26","PALI","1427","5","0","0","15"
