,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Almora,85,0,59,1634,667,866,0,1,269.0,0.0,83.0,10660.0,14608.0,4768.0,0,621927,,,705 cases were recorded as Migrated / Others,12541,197,11511,263973.0,415224,306077,0,705,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,70.0
1,1,1,1,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Bageshwar,34,0,19,1654,399,101,0,1,72.0,0.0,32.0,3289.0,5498.0,729.0,0,259840,,,25 cases were recorded as Migrated / Others,5857,61,5716,225131.0,202669,160017,0,25,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,0.0
2,2,2,2,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Chamoli,27,0,0,595,467,421,0,2,119.0,0.0,0.0,3792.0,6783.0,2560.0,0,391114,,,219 cases were recorded as Migrated / Others,12379,62,11983,311679.0,294718,257915,0,219,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,8.0
3,3,3,3,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Champawat,119,0,0,1319,545,377,0,5,231.0,0.0,13.0,7895.0,6693.0,4147.0,0,259315,,,200 cases were recorded as Migrated / Others,7919,53,7450,284783.0,199271,163774,0,200,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,11.0
4,4,4,4,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Dehradun,1361,1,110,7381,5561,4700,0,104,4428.0,9.0,1505.0,27567.0,61352.0,31650.0,0,1698560,,,636 cases were recorded as Migrated / Others,117973,3537,110388,2073787.0,1657501,1339020,0,636,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,13.0
5,5,5,5,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Haridwar,374,0,404,6076,2002,6812,0,9,1727.0,1.0,428.0,28316.0,23224.0,60279.0,0,1927029,,,1419 cases were recorded as Migrated / Others,53467,1025,49634,2316028.0,1597135,1303464,0,1419,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,14.0
6,6,6,6,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Nainital,424,1,404,1867,2915,2135,0,40,1956.0,1.0,533.0,11242.0,30393.0,13655.0,0,955128,,,147 cases were recorded as Migrated / Others,41565,948,38845,631405.0,811031,641609,0,147,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,0.0
7,7,7,7,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Pauri Garhwal,131,1,0,921,524,1034,0,11,499.0,2.0,0.0,7680.0,16684.0,5536.0,0,686527,,,1181 cases were recorded as Migrated / Others,18421,317,16729,441995.0,481190,350913,0,1181,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,348.0
8,8,8,8,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Pithoragarh,70,0,0,568,692,875,0,15,217.0,0.0,8.0,5331.0,10900.0,4129.0,0,485993,,,132 cases were recorded as Migrated / Others,10545,182,10019,251219.0,349599,276729,0,132,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,16.0
9,9,9,9,2022-01-12,UT,2915,3,1335,25821,18544,22810,16974,223,10751.0,13.0,3072.0,129569.0,235095.0,166104.0,48742.0,Rudraprayag,9,0,1,521,93,216,0,1,60.0,0.0,2.0,2658.0,1637.0,7772.0,0,236857,,,178 cases were recorded as Migrated / Others,8868,106,8542,214125.0,184998,146752,0,178,2022-01-22T02:37:42.671219+05:30,11141000,,,7068 cases were recorded as Migrated / Others,357219,7433,334700,8728918,8290271,6661158,48742,7068,648.0,16.0
