"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","402","36951","102","35527","1085","1","339","0"
"2","Ballari","775","107161","876","99919","5551","1","1691","0"
"3","Belagavi","977","87404","213","80856","5589","4","959","0"
"4","Bengaluru Rural","958","74063","974","65575","7588","3","900","0"
"5","Bengaluru Urban","19105","1626331","33011","1397344","212460","19","16526","1"
"6","Bidar","403","27640","293","25373","1857","0","406","4"
"7","Chamarajanagara","589","37752","193","33745","3488","1","508","11"
"8","Chikkaballapura","915","51381","1003","45706","5234","2","440","1"
"9","Chikkamagaluru","244","54746","359","52570","1777","1","399","0"
"10","Chitradurga","649","41601","793","38270","3115","2","216","0"
"11","Dakshina 
Kannada","667","129046","773","121974","5345","4","1720","7"
"12","Davanagere","403","54958","300","52086","2263","0","609","0"
"13","Dharwada","1511","72418","1441","65948","5139","0","1329","2"
"14","Gadag","168","28588","180","26559","1706","0","323","0"
"15","Hassana","1381","133037","2294","121245","10518","2","1272","2"
"16","Haveri","164","23198","114","21749","802","0","647","0"
"17","Kalaburagi","573","70458","695","64515","5101","5","842","0"
"18","Kodagu","389","42276","374","39158","2777","1","340","1"
"19","Kolara","2185","57523","486","50550","6329","0","644","0"
"20","Koppala","310","38037","168","35394","2115","0","528","0"
"21","Mandya","1495","90755","1331","81668","8424","1","663","0"
"22","Mysuru","1494","208629","2750","188584","17588","2","2457","0"
"23","Raichuru","214","43015","157","40647","2031","0","337","0"
"24","Ramanagara","242","27769","567","25754","1686","0","329","0"
"25","Shivamogga","494","75670","761","71004","3569","0","1096","1"
"26","Tumakuru","2026","145578","772","128041","16380","2","1157","0"
"27","Udupi","1202","88507","1149","82238","5770","1","499","0"
"28","Uttara Kannada","1007","63809","876","59954","3072","0","783","0"
"29","Vijayapura","333","38711","52","36568","1645","0","498","0"
"30","Yadagiri","125","28460","36","27516","738","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","41400","3605508","53093","3216070","350742","52","38666","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 25-01-2022 
 Page 5 of 105","","","","","","","","",""
