"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1024","16","0","14","120"
"2","ALWAR","1012","16","0","27","145"
"3","BANSWARA","361","3","0","5","7"
"4","BARAN","404","0","0","0","3"
"5","BARMER","27","0","0","5","9"
"6","BHARATPUR","361","4","0","49","72"
"7","BHILWARA","494","8","0","19","86"
"8","BIKANER","775","2","0","2","32"
"9","BUNDI","136","3","0","6","20"
"10","CHITTORGARH","587","11","0","15","76"
"11","CHURU","288","0","0","0","2"
"12","DAUSA","810","12","0","15","97"
"13","DHOLPUR","36","0","0","19","5"
"14","DUNGARPUR","309","15","0","12","73"
"15","GANGANAGAR","316","0","0","0","7"
"16","HANUMANGARH","328","1","0","3","13"
"17","JAIPUR","1982","68","0","157","695"
"18","JAISALMER","103","0","0","1","15"
"19","JALORE","147","2","0","5","15"
"20","JHALAWAR","455","6","0","3","29"
"21","JHUNJHUNU","751","4","0","0","9"
"22","JODHPUR","546","26","0","20","173"
"23","KARAULI","385","0","0","0","9"
"24","KOTA","801","6","0","11","29"
"25","NAGAUR","488","12","0","19","36"
"26","PALI","793","8","0","18","38"
