"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1647125","20637589"
"2","Total No. of patients tested Positive","23477","784005"
"3","No. of patients discharged","22810","763084"
"4","Total Deaths reported","187","20492"
"5","Sample collected on the day","","5793"
"6","Test conducted on the day","","5617"
"7","Positive cases on the day","","45"
"8","Number of active Cases","","429"
"9","No. of Patients on oxygen support","","21"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218868"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117908"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211891"
"18","Frontline Workers vaccinated with 2nd dose on the day","","18"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019043"
"20","Above 45 Vaccinated with 1st dose on the day","","90"
"21","Total Above 45 Vaccinated with 1st dose","","8345430"
"22","Above 45 Vaccinated with 2nd dose on the day","","723"
"23","Total Above 45 Vaccinated with 2nd dose","","7645767"
"24","18-44 years age group Vaccinated with 1st dose on the day","","357"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12656032"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1789"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10677858"
"28","15-17 years age group Vaccinated with 1st dose on the day","","228"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112785"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","858"
"31","Total 15-17 years age group Vaccinated with 2nddose","","856062"
"32","12-14 years age group Vaccinated with 1st dose on the day","","928"
"33","Total 12-14 years age group Vaccinated with 1st dose","","670727"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1110"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","469792"
"36","Precautionary dose given on the day","","7941"
"37","Total Precautionary dose given","","1675717"
"38","Total Vaccination 1st dose on the day","","451"
"39","Total Vaccination 2nd dose on the day","","2533"
"40","Total Vaccination 1st and 2nd dose on the day","","2984"
