"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","799910","3","50203","0","449","15","49666","88"
"2","ALWAR","1634134","6","85089","0","321","5","84668","100"
"3","BANSWARA","323502","0","14797","0","106","0","14679","12"
"4","BARAN","243707","0","15322","0","64","1","15254","4"
"5","BARMER","407336","0","21504","0","205","1","21280","19"
"6","BHARATPUR","476483","0","31457","0","274","0","31181","2"
"7","BHILWARA","511178","0","38390","0","162","0","38173","55"
"8","BIKANER","767619","6","50700","0","592","9","49993","115"
"9","BUNDI","237122","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455607","4","29496","0","140","4","29313","43"
"11","CHURU","438551","0","20973","0","115","3","20841","17"
"12","DAUSA","299754","1","15943","0","82","0","15821","40"
"13","DHOLPUR","290693","0","13968","0","49","0","13917","2"
"14","DUNGARPUR","328624","9","25549","0","134","4","25386","29"
"15","GANGANAGAR","423597","3","28193","0","158","0","28031","4"
"16","HANUMANGARH","489742","0","22546","0","115","0","22424","7"
"17","JAIPUR","3497829","60","278391","0","2114","43","275909","368"
"18","JAISALMER","243365","16","17074","0","68","0","16968","38"
"19","JALORE","450469","17","10631","0","78","9","10512","41"
"20","JHALAWAR","419549","4","17796","0","207","0","17573","16"
"21","JHUNJHUNU","494717","0","19161","0","181","0","18980","0"
"22","JODHPUR","1441803","25","142248","0","1164","52","140743","341"
"23","KARAULI","244424","0","8970","0","85","0","8884","1"
"24","KOTA","1140331","1","70151","0","477","0","69660","14"
"25","NAGAUR","654470","0","23831","0","201","0","23589","41"
"26","PALI","462769","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278685","3","11913","0","65","0","11826","22"
"28","RAJSAMAND","302870","12","23143","0","178","3","22898","67"
