"","D
      
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 01-01-2022","","","","","","","","",""
"","","","","","","","","","",""
"","","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16 th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","","",""
"","","","","","","","","","",""
"","","","1","Today’s Discharges","","354","","","",""
"","","","2","Total Discharges","","2960615","","","",""
"","","","3","New Cases Reported (31.12.2021, 00:00 to 23:59)","","1033","","","",""
"","","","4","Total Active Cases","","9386","","","",""
"","","","5","New Covid Deaths","","5","","","",""
"","","","6","Total Covid Deaths","","38340","","","",""
"","","","7","Total Positive Cases","","3008370","","","",""
"","","","8","Positivity rate for the day (31.12.2021, 00:00 to 23:59)","","0.86%","","","",""
"","","","9","Case fatality rate (CFR) for the day (31.12.2021, 00:00 to 23:59)","","0.48%","","","",""
"","","","","","","","","","",""
"","","Particulars","","","Today’s","","Cumulative","","",""
"","","A 
Total Passengers screened at Air ports","","","1702**","","619673","","",""
"","","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","597","","20415","","",""
"","*As specified from GOI  
**Date 31-12-2021. 
 
 
Date: 01-01-2022 
 Page 1 of 8","","","","","","","","",""
"","","","","","","","","","",""
