"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","*1174657","*20165120"
"2","Total No. of patients tested Positive","10844","771413"
"3","No. of patients discharged","8080","748355"
"4","Total Deaths reported","64","20370"
"5","Sample collected on the day","","12404"
"6","Test conducted on the day","","11895"
"7","Positive cases on the day","","434"
"8","Number of active Cases","","2688"
"9","No. of Patients on oxygen support","","79"
"10","Patients at critical care Level-3 facilities","","14"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218783"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117683"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","21"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211402"
"18","Frontline Workers vaccinated with 2nd dose on the day","","82"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017120"
"20","Above 45 Vaccinated with 1st dose on the day","","251"
"21","Total Above 45 Vaccinated with 1st dose","","8336629"
"22","Above 45 Vaccinated with 2nd dose on the day","","3252"
"23","Total Above 45 Vaccinated with 2nd dose","","7574989"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1220"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12623863"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","7669"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10510046"
"28","15-17 years age group Vaccinated with 1st dose on the day","","643"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1101291"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1906"
"31","Total 15-17 years age group Vaccinated with 2nddose","","820451"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2107"
"33","Total 12-14 years age group Vaccinated with 1st dose","","636129"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2906"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","419695"
"36","Precautionary dose given on the day","","26053"
"37","Total Precautionary dose given","","998107"
"38","Total Vaccination 1st dose on the day","","1485"
"39","Total Vaccination 2nd dose on the day","","11024"
"40","Total Vaccination 1st and 2nd dose on the day","","12509"
