"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","796900","3","50050","0","447","0","49509","94"
"2","ALWAR","1628991","0","84937","0","321","7","84572","44"
"3","BANSWARA","322498","0","14782","0","106","0","14672","4"
"4","BARAN","242285","2","15317","0","64","1","15248","5"
"5","BARMER","406190","2","21481","0","205","0","21252","24"
"6","BHARATPUR","476406","0","31453","0","273","0","31180","0"
"7","BHILWARA","510307","6","38295","0","162","13","38087","46"
"8","BIKANER","760397","10","50424","0","590","10","49725","109"
"9","BUNDI","236821","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454836","0","29438","0","140","0","29284","14"
"11","CHURU","437771","0","20951","0","115","0","20830","6"
"12","DAUSA","297723","0","15897","0","82","0","15798","17"
"13","DHOLPUR","289763","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328161","1","25510","0","134","0","25365","11"
"15","GANGANAGAR","423470","0","28189","0","158","0","28021","10"
"16","HANUMANGARH","489506","0","22536","0","115","0","22414","7"
"17","JAIPUR","3481484","69","277774","0","2114","21","275150","510"
"18","JAISALMER","243032","0","17036","0","68","0","16968","0"
"19","JALORE","449129","0","10575","0","78","0","10486","11"
"20","JHALAWAR","415557","0","17769","0","207","0","17556","6"
"21","JHUNJHUNU","494342","0","19161","0","181","0","18980","0"
"22","JODHPUR","1435789","23","141624","0","1164","28","140299","161"
"23","KARAULI","243248","0","8969","0","85","0","8884","0"
