"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","736757","203","48225","0","428","298","45819","1978"
"2","ALWAR","1452885","465","82729","0","317","746","79514","2898"
"3","BANSWARA","285875","78","13489","0","105","210","12162","1222"
"4","BARAN","207163","102","14674","0","62","145","13864","748"
"5","BARMER","385895","57","21178","1","198","127","20324","656"
"6","BHARATPUR","448688","111","30736","0","269","396","29155","1312"
"7","BHILWARA","473685","257","37205","1","160","199","35097","1948"
"8","BIKANER","681080","134","48748","2","571","192","47289","888"
"9","BUNDI","212442","48","9479","0","52","92","8955","472"
"10","CHITTORGARH","430711","115","28717","0","140","282","28292","285"
"11","CHURU","392079","69","20029","0","112","95","19220","697"
"12","DAUSA","258763","63","15534","0","74","54","15136","324"
"13","DHOLPUR","261025","61","13470","0","49","114","12726","695"
"14","DUNGARPUR","315108","58","24900","0","134","240","23208","1558"
"15","GANGANAGAR","392360","311","26514","0","156","59","23964","2394"
"16","HANUMANGARH","459923","171","21812","0","114","189","20801","897"
"17","JAIPUR","3050419","916","262949","6","2074","2069","248188","12687"
"18","JAISALMER","233352","68","16355","0","68","44","15733","554"
"19","JALORE","424998","12","10458","0","77","15","10301","80"
"20","JHALAWAR","345297","45","17058","0","199","151","16421","438"
"21","JHUNJHUNU","453597","170","18007","0","174","92","16837","996"
"22","JODHPUR","1316925","615","137648","1","1149","888","133047","3452"
"23","KARAULI","216854","49","8493","1","83","47","8225","185"
