"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","640822","2","37844","0","410","1","37420","14"
"2","ALWAR","1286162","2","59740","0","307","0","59412","21"
"3","BANSWARA","242048","0","10005","0","104","0","9901","0"
"4","BARAN","169601","3","12000","0","61","0","11936","3"
"5","BARMER","337026","0","15580","0","185","0","15388","7"
"6","BHARATPUR","389069","0","19604","0","260","0","19341","3"
"7","BHILWARA","406116","0","29783","0","156","0","29627","0"
"8","BIKANER","606543","3","40397","0","546","4","39825","26"
"9","BUNDI","181841","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","369667","0","19809","0","139","0","19670","0"
"11","CHURU","327644","1","16723","0","108","0","16614","1"
"12","DAUSA","217100","0","13354","0","62","0","13292","0"
"13","DHOLPUR","229774","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","257086","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","344227","0","19359","0","150","1","19206","3"
"16","HANUMANGARH","394465","1","16075","0","111","0","15943","21"
"17","JAIPUR","2593290","4","188142","0","1971","6","186053","118"
"18","JAISALMER","209750","0","13646","0","66","0","13578","2"
"19","JALORE","383573","1","10068","0","72","0","9995","1"
"20","JHALAWAR","296533","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","388855","1","14820","0","158","0","14654","8"
"22","JODHPUR","1174679","1","112430","0","1103","0","111319","8"
"23","KARAULI","176600","0","7156","0","70","0","7086","0"
