"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1434024","20424487"
"2","Total No. of patients tested Positive","20501","781028"
"3","No. of patients discharged","18497","758772"
"4","Total Deaths reported","139","20444"
"5","Sample collected on the day","","5185"
"6","Test conducted on the day","","5140"
"7","Positive cases on the day","","203"
"8","Number of active Cases","","1812"
"9","No. of Patients on oxygen support","","105"
"10","Patients at critical care Level-3 facilities","","31"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218844"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117817"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","9"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211715"
"18","Frontline Workers vaccinated with 2nd dose on the day","","64"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018349"
"20","Above 45 Vaccinated with 1st dose on the day","","304"
"21","Total Above 45 Vaccinated with 1st dose","","8341365"
"22","Above 45 Vaccinated with 2nd dose on the day","","1331"
"23","Total Above 45 Vaccinated with 2nd dose","","7624024"
"24","18-44 years age group Vaccinated with 1st dose on the day","","894"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12643508"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3454"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10622589"
"28","15-17 years age group Vaccinated with 1st dose on the day","","238"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106965"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","670"
"31","Total 15-17 years age group Vaccinated with 2nddose","","840780"
"32","12-14 years age group Vaccinated with 1st dose on the day","","617"
"33","Total 12-14 years age group Vaccinated with 1st dose","","655952"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1174"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","446469"
"36","Precautionary dose given on the day","","17540"
"37","Total Precautionary dose given","","1414845"
"38","Total Vaccination 1st dose on the day","","1204"
"39","Total Vaccination 2nd dose on the day","","4858"
"40","Total Vaccination 1st and 2nd dose on the day","","6062"
