"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23854","","5333","","29187",""
"2","Total Active Cases","58 
(0.24%)","","04 
(0.08%)","","62 
(0.21%)",""
"3","Total Cured/Discharged","23626 
(99%)","","5269 
(98.8%)","","28895 
(98.9%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","01","","09",""
"6","Total Positive cases in Home Isolation","45","","03","","48",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","726","","65","","791",""
"10","No. of Samples Positive (Today)","21","","01","","22",""
"11","No. of Samples Negative (Today)","704","","64","","768",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
108 
04 
00 
169"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(24/08/2022)","","Test Done Today 
(25/08/2022)","","Cumulative"
"","","a)RTPCR","35899","","106","","36005"
"","","b)TRUENAT","14904","","11","","14915"
"","","c)RAT","361323","","674","","361997"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","713351","","791","","714142"
