"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20022","","4012","","24034",""
"2","Total Active Cases","871 
(4.4%)","","176 
(4.4%)","","1047 
(4.4%)",""
"3","Total Cured/ Discharged","18987 
(94.8%)","","3778                                  
(94.2%)","","(94.7%)",""
"4","Total Died","164 
(0.82%)","","58 
(1.4%)","","222 
(0.92%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","07","","32",""
"6","Total Positive cases in Home Isolation","707","","169","","876",""
"7","COVID Care Centre","102","","0","","102",""
"8","Facility Isolation","37","","0","","37",""
"9","No. of Samples Tested (Today)","1218","","396","","1614",""
"10","No. of Samples Positive (Today)","125","","24","","149",""
"11","No. of Samples Negative (Today)","1090","","372","","1462",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","475 
          00 
      00 
           49 
          524"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(19/01/2022)","","Test Done Today 
(20/01/2022)","","Cumulative"
"","","a)  RTPCR","267192","","1364","","268556"
"","","b)  TRUENAT","11417","","32","","11449"
"","","c)  RAT","341596","","218","","341814"
"","","d)  CBNAAT","247","","00","","247"
"","","TOTAL","620452","","1614","","622066"
