"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,346"
"2","Number of persons tested positive today in Tamil Nadu","302"
"3","Total Number of persons tested positive till date","35,87,861"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,481/ 
6,95,79,970@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,346/ 
6,83,59,810"
"6","No. of Male / Female / Transgender tested positive today","179/123/0"
"7","No. of Male / Female / Transgender tested positive till date","20,92,007/14,95,816/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","406/ 
35,45,467"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
