"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,414"
"2","Number of persons tested positive today in Tamil Nadu","158"
"3","Total Number of persons tested positive till date","34,51,171"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","43,382/ 
6,47,54,613@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","43,211/ 
6,35,79,360"
"6","No. of Male / Female / Transgender tested positive today","85/73/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,312/14,36,821/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","512/ 
34,10,740"
"10","Total number of deaths today/ till date","2(1 Private &  
1 Govt) /38,017"
