"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22188","","5151","","27339",""
"2","Total Active Cases","432 
(1.9%)","","151 
(2.9%)","","583 
(2.1%)",""
"3","Total Cured/ Discharged","21589 
(97.3%)","","4941                                  
(95.9%)","","(97.0%)",""
"4","Total Died","167 
(0.75%)","","59 
(1.1%)","","226 
(0.83%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","6","","18",""
"6","Total Positive cases in Home Isolation","274","","145","","419",""
"7","COVID Care Centre","122","","00","","122",""
"8","Facility Isolation","24","","00","","24",""
"9","No. of Samples Tested (Today)","708","","326","","1034",""
"10","No. of Samples Positive (Today)","42","","18","","60",""
"11","No. of Samples Negative (Today)","661","","308","","969",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","632 
        00 
        00 
        40 
       672"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(10/01/2022)","","Test Done Today 
(11/02/2022)","","Cumulative"
"","","a)  RTPCR","286519","","858","","287377"
"","","b)  TRUENAT","11924","","15","","11939"
"","","c)  RAT","345062","","58","","345120"
"","","d)  CBNAAT","571","","103","","674"
"","","TOTAL","644076","","1034","","645110"
