"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","35181","1","34845","3","0","333","0"
"2","Ballari","1","97790","0","95998","106","0","1686","0"
"3","Belagavi","9","79976","3","78969","64","0","943","0"
"4","Bengaluru Rural","3","62082","4","61161","31","0","890","0"
"5","Bengaluru Urban","224","1255835","129","1234272","5235","1","16327","1"
"6","Bidar","0","24344","0","23939","0","0","401","4"
"7","Chamarajanagara","1","33048","0","32506","28","0","503","11"
"8","Chikkaballapura","0","43973","0","43535","6","0","431","1"
"9","Chikkamagaluru","5","51205","3","50760","49","0","396","0"
"10","Chitradurga","4","36719","1","36466","45","0","208","0"
"11","Dakshina 
Kannada","19","115819","11","114003","122","1","1687","7"
"12","Davanagere","0","51002","2","50382","12","0","608","0"
"13","Dharwada","85","61164","0","59685","156","1","1321","2"
"14","Gadag","1","26069","0","25747","3","0","319","0"
"15","Hassana","2","112015","3","110685","70","1","1258","2"
"16","Haveri","0","21949","0","21304","2","0","643","0"
"17","Kalaburagi","0","61949","1","61122","5","0","822","0"
"18","Kodagu","2","37223","9","36832","59","1","331","1"
"19","Kolara","3","47011","9","46346","26","0","639","0"
"20","Koppala","0","35199","0","34661","11","0","527","0"
"21","Mandya","1","73848","3","73164","30","0","654","0"
"22","Mysuru","25","179675","55","177024","230","0","2421","0"
"23","Raichuru","0","39980","0","39646","1","1","333","0"
"24","Ramanagara","0","24214","0","23886","5","0","323","0"
"25","Shivamogga","3","69519","4","68341","88","0","1090","0"
"26","Tumakuru","5","121049","9","119797","117","0","1135","0"
"27","Udupi","3","76870","11","76326","56","0","488","0"
"28","Uttara Kannada","5","56393","17","55576","45","0","772","0"
"29","Vijayapura","0","36278","2","35779","4","0","495","0"
"30","Yadagiri","0","27548","0","27340","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","402","2994963","277","2950130","6611","6","38193","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 26-11-2021 
 Page 5 of 8","","","","","","","","",""
