"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","394"
"2","Number of persons tested positive today in Tamil Nadu","34"
"3","Total Number of persons tested positive till date","34,52,681"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,454/ 
6,54,83,861@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,435/ 
6,43,07,435"
"6","No. of Male / Female / Transgender tested positive today","11/23/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,072/14,37,571/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","58/ 
34,14,262"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
