"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,770"
"2","Number of persons tested positive today in Tamil Nadu","195"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-1"
"","Total","196"
"3","Total Number of persons tested positive till date","34,51,013"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","50,298/ 
6,47,11,231@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","50,113/ 
6,35,36,149"
"6","No. of Male / Female / Transgender tested positive today","117/79/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,227/14,36,748/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","554/ 
34,10,228"
"10","Total number of deaths today/ till date","3(1 Private &  
2 Govt) /38,015"
