"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","15,938"
"2","Number of persons tested positive today in Tamil Nadu","949"
"3","Total Number of persons tested positive till date","34,44,929"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","80,755/ 
6,38,90,901@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","79,698/ 
6,27,22,226"
"6","No. of Male / Female / Transgender tested positive today","561/388/0"
"7","No. of Male / Female / Transgender tested positive till date","20,10,691/14,34,200/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","3,172/ 
33,91,011"
"10","Total number of deaths today/ till date","3(2 Private &  
1 Govt) /37,980"
