"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23546","","5297","","28843",""
"2","Total Active Cases","139 
(0.59%)","","11 
(0.21%)","","150 
(0.52%)",""
"3","Total Cured/Discharged","23239 
(98.69%)","","5226 
(98.66%)","","28465 
(98.68%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","00","","22",""
"6","Total Positive cases in Home Isolation","99","","10","","109",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","18","","00","","18",""
"9","No. of Samples Tested (Today)","368","","161","","529",""
"10","No. of Samples Positive (Today)","20","","02","","22",""
"11","No. of Samples Negative (Today)","348","","159","","507",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
00 
12 
09 
75"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(26/07/2022)","","Test Done Today 
(27/07/2022)","","Cumulative"
"","","a)RTPCR","331364","","424","","331788"
"","","b)TRUENAT","14608","","10","","14618"
"","","c)RAT","353532","","93","","353625"
"","","d)  CBNAAT","1141","","02","","1143"
"","","TOTAL","700645","","529","","701174"
