"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,492"
"2","Number of persons tested positive today in Tamil Nadu","1,009"
"3","Total Number of persons tested positive till date","27,02,623"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,23,701/ 
5,11,59,242@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,23,307/ 
5,02,35,899"
"6","No. of Male / Female / Transgender tested positive today","586/423/0"
"7","No. of Male / Female / Transgender tested positive till date","15,77,294/11,25,291/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","307 (69 Govt+ 
238 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,183/ 
26,55,015"
"10","Total number of deaths today/ till date","19(5 Private &  
14 Govt) /36,116)"
