"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1601453","20591917"
"2","Total No. of patients tested Positive","23042","783570"
"3","No. of patients discharged","22173","762447"
"4","Total Deaths reported","178","20484"
"5","Sample collected on the day","","9308"
"6","Test conducted on the day","","9187"
"7","Positive cases on the day","","87"
"8","Number of active Cases","","639"
"9","No. of Patients on oxygen support","","35"
"10","Patients at critical care Level-3 facilities","","7"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218865"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117889"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211858"
"18","Frontline Workers vaccinated with 2nd dose on the day","","36"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018933"
"20","Above 45 Vaccinated with 1st dose on the day","","95"
"21","Total Above 45 Vaccinated with 1st dose","","8344821"
"22","Above 45 Vaccinated with 2nd dose on the day","","1005"
"23","Total Above 45 Vaccinated with 2nd dose","","7641731"
"24","18-44 years age group Vaccinated with 1st dose on the day","","432"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12654001"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2578"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10667234"
"28","15-17 years age group Vaccinated with 1st dose on the day","","198"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111807"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","658"
"31","Total 15-17 years age group Vaccinated with 2nddose","","852774"
"32","12-14 years age group Vaccinated with 1st dose on the day","","855"
"33","Total 12-14 years age group Vaccinated with 1st dose","","666960"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1127"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","464166"
"36","Precautionary dose given on the day","","10287"
"37","Total Precautionary dose given","","1631840"
"38","Total Vaccination 1st dose on the day","","532"
"39","Total Vaccination 2nd dose on the day","","3623"
"40","Total Vaccination 1st and 2nd dose on the day","","4155"
