"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,716+7","15,566+4","102","48+3","29-Nov-21"
"2","Coochbehar","29,636+11","29,411+12","97","128-1","29-Nov-21"
"3","Darjeeling","57,933+21","57,119+24","547","267-3","29-Nov-21"
"4","Kalimpong","7,126+2","7,047+2","54","25","29-Nov-21"
"5","Jalpaiguri","42,410+16","41,659+15","589+1","162","29-Nov-21"
"6","Uttar Dinajpur","20,061+4","19,765+5","240","56-1","29-Nov-21"
"7","Dakshin Dinajpur","18,489+15","18,138+16","175+1","176-2","29-Nov-21"
"8","Malda","33,706+9","33,416+9","188","102","29-Nov-21"
"9","Murshidabad","34,144+7","33,761+5","330","53+2","29-Nov-21"
"10","Nadia","74,257+19","73,095+25","885+1","277-7","29-Nov-21"
"11","Birbhum","41,618+7","41,178+14","289","151-7","29-Nov-21"
"12","Purulia","19,472+1","19,341+2","114","17-1","29-Nov-21"
"13","Bankura","36,805+7","36,392+13","276","137-6","29-Nov-21"
"14","Jhargram","12,291+8","12,215+4","27","49+4","29-Nov-21"
"15","Paschim Medinipur","54,075+15","53,411+14","510","154+1","29-Nov-21"
"16","Purba Medinipur","63,386+9","62,886+9","401+1","99-1","29-Nov-21"
"17","Purba Bardhaman","42,562+17","42,185+15","206","171+2","29-Nov-21"
"18","Paschim Bardhaman","58,415+36","57,826+19","360","229+17","29-Nov-21"
"19","Howrah","1,00,558+55","98,430+53","1,535+1","593+1","29-Nov-21"
"20","Hooghly","88,143+46","86,514+56","1,014+1","615-11","29-Nov-21"
"21","North 24 Parganas","3,33,392+137","3,27,067+124","4,928+4","1,397+9","29-Nov-21"
"22","South 24 Parganas","1,02,893+64","1,00,871+58","1,375+1","647+5","29-Nov-21"
"23","Kolkata","3,28,929+192","3,21,510+196","5,241+2","2,178-6","29-Nov-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,16,083+705","15,88,866+694","19,486+13","7,731-2",""
