"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","287","110063","201","107690","3","2282","91"
"2","SAS Nagar","581","96270","421","94954","2","1150","166"
"3","Jalandhar","179","78449","135","76835","1","1579","35"
"4","Patiala","255","62286","232","60804","0","1457","25"
"5","Amritsar","102","59499","92","57800","0","1682","17"
"6","Bathinda","69","50937","60","49838","0","1088","11"
"7","Hoshiarpur","75","40915","76","39808","0","1096","11"
"8","Gurdaspur","29","26968","21","26094","1","865","9"
"9","Pathankot","62","24594","54","24087","0","495","12"
"10","Fazilka","35","23433","42","22881","0","545","7"
"11","Muktsar","13","22567","18","22028","0","539","0"
"12","Kapurthala","45","22080","40","21492","1","583","5"
"13","Ropar","39","17978","36","17519","0","455","4"
"14","Ferozepur","23","17922","21","17381","0","537","4"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","41","16824","37","16478","0","338","8"
"17","Sangrur","1","14310","1","13574","0","735","1"
"18","SBS Nagar","26","13428","26","13014","0","409","5"
"19","FG Sahib","27","11861","19","11499","0","354","8"
"20","Moga","10","10998","9","10740","1","255","3"
"21","Tarn Taran","11","10909","5","10510","0","394","5"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1925","760999","1563","742813","10","17756","430"
