"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","736301","19725171"
"2","Total No. of patients tested Positive","1925","760999"
"3","No. of patients discharged","1563","742813"
"4","Total Deaths reported","10","17756"
"5","Sample collected on the day","","8973"
"6","Test conducted on the day","","8943"
"7","Positive cases on the day","","92"
"8","Number of active Cases","","430"
"9","No. of Patients on oxygen support","","14"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218653"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117411"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210461"
"18","Frontline Workers vaccinated with 2nd dose on the day","","68"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013377"
"20","Above 45 Vaccinated with 1st dose on the day","","496"
"21","Total Above 45 Vaccinated with 1st dose","","8321235"
"22","Above 45 Vaccinated with 2nd dose on the day","","6700"
"23","Total Above 45 Vaccinated with 2nd dose","","7366385"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1663"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12578294"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14398"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10075972"
"28","15-17 years age group Vaccinated with 1st dose on the day","","377"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1081847"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1847"
"31","Total 15-17 years age group Vaccinated with 2nddose","","738395"
"32","12-14 years age group Vaccinated with 1st dose on the day","","725"
"33","Total 12-14 years age group Vaccinated with 1st dose","","588885"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2177"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","313263"
"36","Precautionary dose given on the day","","4204"
"37","Total Precautionary dose given","","694689"
"38","Total Vaccination 1st dose on the day","","2168"
"39","Total Vaccination 2nd dose on the day","","21182"
"40","Total Vaccination 1st and 2nd dose on the day","","23350"
