"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,349"
"2","Number of persons tested positive today in Tamil Nadu","533"
"3","Total Number of persons tested positive till date","35,79,901"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,673/ 
6,93,31,295@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,513/ 
6,81,14,121"
"6","No. of Male / Female / Transgender tested positive today","274/259/0"
"7","No. of Male / Female / Transgender tested positive till date","20,87,430/14,92,433/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","479/ 
35,36,506"
"10","Total number of deaths today/ till date","2 (0 Private & 
2 Govt) /38,046"
