"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,291"
"2","Number of persons tested positive today in Tamil Nadu","730"
"3","Total Number of persons tested positive till date","27,26,197"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,508/ 
5,41,70,299@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,252/ 
5,32,38,152"
"6","No. of Male / Female / Transgender tested positive today","440/290/0"
"7","No. of Male / Female / Transgender tested positive till date","15,91,217/11,34,942/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","312 (69 Govt+ 
243 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","767/ 
26,81,434"
"10","Total number of deaths today/ till date","9(4 Private &  
5 Govt) /36,472)"
