"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","59","109836","37","107526","1","2280","30"
"2","SAS Nagar","45","95736","32","94565","0","1148","23"
"3","Jalandhar","41","78318","28","76728","0","1578","12"
"4","Patiala","18","62055","14","60586","0","1458","11"
"5","Amritsar","11","59406","10","57718","0","1682","6"
"6","Bathinda","9","50880","13","49791","0","1088","1"
"7","Hoshiarpur","36","40874","21","39753","0","1096","25"
"8","Gurdaspur","7","26947","6","26079","1","865","3"
"9","Pathankot","14","24550","13","24046","0","495","9"
"10","Fazilka","2","23400","16","22855","0","545","0"
"11","Muktsar","4","22558","7","22017","0","539","2"
"12","Kapurthala","14","22047","13","21465","0","579","3"
"13","Ropar","3","17941","2","17485","0","455","1"
"14","Ferozepur","5","17904","5","17365","0","537","2"
"15","Mansa","1","17229","1","16837","0","392","0"
"16","Faridkot","7","16793","8","16449","0","338","6"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","8","13410","11","12999","0","407","4"
"19","FG Sahib","5","11839","1","11481","0","354","4"
"20","Moga","1","10988","2","10733","0","254","1"
"21","Tarn Taran","1","10900","0","10505","0","394","1"
"22","Barnala","2","7500","7","7150","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","293","759386","247","741497","2","17744","145"
