"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","194344","19183204"
"2","Total No. of patients tested Positive","293","759386"
"3","No. of patients discharged","247","741497"
"4","Total Deaths reported","2","17744"
"5","Sample collected on the day","","9599"
"6","Test conducted on the day","","9513"
"7","Positive cases on the day","","31"
"8","Number of active Cases","","145"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218524"
"14","Frontline Workers vaccinated with 1st dose on the day","","14"
"15","Total Frontline Workers vaccinated with 1st dose","","1116951"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","26"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209173"
"18","Frontline Workers vaccinated with 2nd dose on the day","","116"
"19","Total Frontline Workers vaccinated with 2nd dose","","1008772"
"20","Above 45 Vaccinated with 1st dose on the day","","629"
"21","Total Above 45 Vaccinated with 1st dose","","8275274"
"22","Above 45 Vaccinated with 2nd dose on the day","","7966"
"23","Total Above 45 Vaccinated with 2nd dose","","6906331"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2320"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12447032"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","19110"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9125140"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2921"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1006357"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","6021"
"31","Total 15-17 years age group Vaccinated with 2nddose","","554080"
"32","12-14 years age group Vaccinated with 1st dose on the day","","7465"
"33","Total 12-14 years age group Vaccinated with 1st dose","","384787"
"34","12-14 years age group Vaccinated with 2nddose on the day","","7353"
"35","Total 12-14 years age group Vaccinated with 2nddose","","26763"
"36","Precautionary dose given on the day","","5153"
"37","Total Precautionary dose given","","504170"
"38","Total Vaccination 1st dose on the day","","2969"
"39","Total Vaccination 2nd dose on the day","","27218"
"40","Total Vaccination 1st and 2nd dose on the day","","30187"
