"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18161","","3661","","21822",""
"2","Total Active Cases","173 
(0.95%)","","17 
(0.46%)","","190 
(0.87%)",""
"3","Total Cured/ Discharged","17830 
(98.2%)","","3586                                  
(97.9%)","","(98%)",""
"4","Total Died","158 
(0.87%)","","58 
(1.6%)","","216 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","123","","17","","140",""
"7","COVID Care Centre","22","","0","","22",""
"8","Facility Isolation","14","","0","","14",""
"9","No. of Samples Tested (Today)","346","","73","","419",""
"10","No. of Samples Positive (Today)","17","","01","","18",""
"11","No. of Samples Negative (Today)","329","","72","","401",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","345 
           00 
       00 
           13 
          358"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(11/12/2021)","","Test Done Today 
(12/12/2021)","","Cumulative"
"","","a)  RTPCR","240383","","346","","240729"
"","","b)  TRUENAT","11130","","06","","11136"
"","","c)  RAT","335290","","67","","335357"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","586975","","419","","587394"
