"Total No. of Sample Taken Today","7949"
"Total No. of Positive Cases Detected Today","48"
"Total Active COVID-19 Patients","216"
"Total No. of Active Cases under Home Isolation (28-09-2022)","195"
"Total No. of Samples found Positive till date","1054842"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1043899"
"No. of Deaths","10704"
"Total No. of People Vaccinated Today","3521 
(1st Dose: 270 
2nd Dose: 865 
Precaution Dose: 2386)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23663514 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19804850 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1893852"
"Cumulative Coverage of Total COVID-19 Vaccination","45362216"
"COVID-19 Today (28-09-2022) Positivity Rate","0.75%"
"Recovery Rate","98.96%"
"Fatality Rate","1.01%"
