"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","802319","25","50340","2","451","13","49771","118"
"2","ALWAR","1638515","35","85320","0","321","41","84824","175"
"3","BANSWARA","324477","2","14851","0","106","11","14702","43"
"4","BARAN","245097","1","15330","0","64","0","15260","6"
"5","BARMER","408107","0","21521","0","205","0","21303","13"
"6","BHARATPUR","476566","0","31459","0","274","0","31184","1"
"7","BHILWARA","511927","16","38502","0","162","8","38248","92"
"8","BIKANER","772618","16","50823","0","593","9","50146","84"
"9","BUNDI","237400","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","456366","18","29546","0","140","5","29373","33"
"11","CHURU","439343","0","21016","0","115","0","20884","17"
"12","DAUSA","301958","24","16092","0","82","1","15880","130"
"13","DHOLPUR","291575","5","13980","0","49","1","13920","11"
"14","DUNGARPUR","330157","2","25580","0","134","0","25418","28"
"15","GANGANAGAR","423718","0","28198","0","160","0","28035","3"
"16","HANUMANGARH","490060","0","22551","0","115","0","22431","5"
"17","JAIPUR","3512396","153","279301","0","2116","97","276414","771"
"18","JAISALMER","244099","7","17157","0","68","7","17032","57"
"19","JALORE","451616","0","10687","0","78","3","10571","38"
"20","JHALAWAR","423315","0","17830","0","208","0","17594","28"
"21","JHUNJHUNU","495157","0","19161","0","181","0","18980","0"
"22","JODHPUR","1445713","41","142552","0","1164","56","141188","200"
"23","KARAULI","245586","0","8971","0","85","0","8885","1"
