"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,770"
"2","Number of persons tested positive today in Tamil Nadu","681"
"3","Total Number of persons tested positive till date","27,34,715"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,414/ 
5,53,94,861@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,174/ 
5,44,59,742"
"6","No. of Male / Female / Transgender tested positive today","401/280/0"
"7","No. of Male / Female / Transgender tested positive till date","15,96,264/11,38,413/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","719/ 
26,90,346"
"10","Total number of deaths today/ till date","13(7 Private &  
6 Govt) /36,599)"
