"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23966","","5338","","29304",""
"2","Total Active Cases","33 
(0.14%)","","01 
(0.02%)","","34 
(0.12%)",""
"3","Total Cured/Discharged","23763 
(99.15%)","","5277 
(98.85%)","","29040 
(99.09%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","16","","01","","17",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","14","","00","","14",""
"9","No. of Samples Tested (Today)","92","","27","","119",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","91","","27","","118",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
23 
00 
00 
85"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(16/09/2022)","","Test Done Today 
(17/09/2022)","","Cumulative"
"","","a)RTPCR","38345","","82","","38427"
"","","b)TRUENAT","15133","","08","","15141"
"","","c)RAT","363105","","29","","363134"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717808","","119","","717927"
