"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"10","Kolhapur","220491","214585","5904","2"
"11","Solapur","227067","221187","5877","3"
"12","Nashik","472876","463950","8910","16"
"13","Ahmednagar","377710","370447","7242","21"
"14","Jalgaon","149527","146764","2761","2"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176535","172249","4284","2"
"18","Jalna","66328","65104","1224","0"
"19","Beed","109200","106304","2883","13"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58567","57284","1279","4"
"22","Hingoli","22175","21661","514","0"
"23","Nanded","102668","99963","2704","1"
"24","Osmanabad","75159","73020","2139","0"
"25","Amravati","105947","104321","1624","2"
"26","Akola","66181","64711","1470","0"
"27","Washim","45630","44987","641","2"
"28","Buldhana","92020","91184","836","0"
"29","Yavatmal","81981","80160","1820","1"
"30","Nagpur","576418","567192","9215","11"
"31","Wardha","65675","64265","1408","2"
"32","Bhandara","67942","66800","1142","0"
"33","Gondia","45421","44834","587","0"
